session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_1,2026-01-26 16:55:37.932,0.013,-73.2564,4.0786,-9.0557,8.3270,89.6992,103.8490,-59.7887,-84.7341,618.0065,76.2755,75.7423,3.1253,6,0,0,0,0
Session_1,2026-01-26 16:55:37.997,0.078,-73.2564,4.0786,-9.0557,8.3942,89.5605,103.8503,-59.9857,-84.6632,618.0809,76.0195,75.7169,2.7388,6,0,0,0,0
Session_1,2026-01-26 16:55:38.071,0.153,-73.2564,4.0787,-9.0557,8.3318,89.5207,103.8517,-59.9991,-84.7863,618.0117,76.2691,75.7283,2.9409,6,0,0,0,0
Session_1,2026-01-26 16:55:38.153,0.235,-73.2564,4.0786,-9.0557,8.3688,89.4617,103.8524,-60.0874,-84.7415,618.0527,76.1272,75.7154,2.7446,6,0,0,0,0
Session_1,2026-01-26 16:55:38.237,0.318,-73.2564,4.0786,-9.0557,8.3578,89.4232,103.8510,-60.1264,-84.7738,618.0405,76.1714,75.7172,2.7489,6,0,0,0,0
Session_1,2026-01-26 16:55:38.319,0.400,-73.2564,4.0786,-9.0557,8.3311,89.4026,103.8524,-60.1363,-84.8277,618.0109,76.2792,75.7211,2.8329,6,0,0,0,0
Session_1,2026-01-26 16:55:38.393,0.474,-73.2564,4.0785,-9.0557,8.3345,89.3882,103.8490,-60.1547,-84.8271,618.0146,76.2635,75.7228,2.8032,6,0,0,0,0
Session_1,2026-01-26 16:55:38.466,0.548,-73.2564,4.0786,-9.0557,8.3695,89.3875,103.8496,-60.1741,-84.7656,618.0534,76.1264,75.7136,2.6696,6,0,0,0,0
Session_1,2026-01-26 16:55:38.541,0.622,-73.2564,4.0785,-9.0557,8.3208,89.3806,103.8483,-60.1562,-84.8538,617.9993,76.3175,75.7264,2.8479,6,0,0,0,0
Session_1,2026-01-26 16:55:38.615,0.697,-73.2564,4.0785,-9.0558,8.3297,89.3669,103.8503,-60.1769,-84.8431,618.0092,76.2853,75.7215,2.8030,6,0,0,0,0
Session_1,2026-01-26 16:55:38.699,0.780,-73.2565,4.0786,-9.0558,8.3118,89.3703,103.8510,-60.1636,-84.8730,617.9894,76.3559,75.7253,2.8749,6,0,0,0,0
Session_1,2026-01-26 16:55:38.783,0.864,-73.2564,4.0786,-9.0557,8.3585,89.3793,103.8496,-60.1780,-84.7874,618.0413,76.1699,75.7158,2.7036,6,0,0,0,0
Session_1,2026-01-26 16:55:38.859,0.940,-73.2564,4.0785,-9.0558,8.1416,89.3010,103.8469,-60.1544,-85.1952,617.8000,77.0286,75.7655,3.4575,6,0,0,0,0
Session_1,2026-01-26 16:55:38.934,1.015,-73.2564,4.0786,-9.0558,8.1299,89.2474,103.8510,-60.2110,-85.2327,617.7871,77.0807,75.7612,3.4548,6,0,0,0,0
Session_1,2026-01-26 16:55:39.018,1.099,-73.2565,4.0788,-9.0558,8.1464,88.8760,103.8496,-60.6537,-85.3251,617.8052,77.0331,75.7388,3.0376,6,0,0,0,0
Session_1,2026-01-26 16:55:39.102,1.183,-73.2564,4.0788,-9.0559,8.0530,88.5587,103.8510,-60.9754,-85.5910,617.7007,77.4193,75.7427,3.0952,6,0,0,0,0
Session_1,2026-01-26 16:55:39.177,1.258,-73.2564,4.0789,-9.0558,7.9060,88.5471,103.8503,-60.9120,-85.8508,617.5364,78.0001,75.7767,3.6465,6,0,0,0,0
Session_1,2026-01-26 16:55:39.243,1.324,-73.2565,4.0789,-9.0558,7.6952,88.6219,103.8510,-60.7140,-86.1943,617.2995,78.8359,75.8259,4.5315,6,0,0,0,0
Session_1,2026-01-26 16:55:39.311,1.392,-73.2564,4.0788,-9.0559,7.4728,88.5594,103.8503,-60.6702,-86.6026,617.0475,79.7293,75.8693,5.3354,6,0,0,0,0
Session_1,2026-01-26 16:55:39.386,1.467,-73.2564,4.0787,-9.0562,6.9454,88.5237,103.8503,-60.4366,-87.5294,616.4442,81.8636,75.9632,7.3698,6,0,0,0,0
Session_1,2026-01-26 16:55:39.469,1.551,-73.2564,4.0778,-9.0624,6.0260,88.7311,103.8503,-59.7087,-89.0760,615.3625,85.6658,76.0884,11.2669,6,0,0,0,0
Session_1,2026-01-26 16:55:39.611,1.693,-73.2565,3.9918,-9.1608,2.8770,89.0483,103.8490,-57.4294,-95.3175,611.2310,99.5163,76.0040,25.0298,6,0,0,0,0
Session_1,2026-01-26 16:55:39.728,1.810,-73.2568,2.9392,-9.4516,1.8759,88.5505,103.8531,-54.7989,-106.1578,607.9722,108.8524,75.5178,33.5828,6,0,0,0,0
Session_1,2026-01-26 16:55:39.809,1.891,-73.2569,0.9531,-9.8419,3.0721,87.9016,103.8496,-51.2200,-120.7866,605.6934,113.3556,75.1984,37.2939,6,0,0,0,0
Session_1,2026-01-26 16:55:39.876,1.958,-73.2569,-0.7052,-10.0107,2.9519,88.0589,103.8483,-47.1097,-133.7876,602.0860,120.1214,74.3925,43.9798,6,0,0,0,0
Session_1,2026-01-26 16:55:39.960,2.041,-73.2569,-2.7830,-10.0845,2.5440,87.7293,103.8490,-42.6858,-149.8801,596.8791,128.0727,73.1194,51.2895,6,0,0,0,0
Session_1,2026-01-26 16:55:40.021,2.102,-73.2569,-4.4162,-10.0850,2.3957,87.8982,103.8510,-38.8949,-161.7702,592.7304,132.7635,72.0215,55.9306,6,0,0,0,0
Session_1,2026-01-26 16:55:40.094,2.176,-73.2569,-6.2385,-10.0858,2.1794,88.0547,103.8476,-34.7266,-174.9676,587.5939,137.4708,70.6450,60.5442,6,0,0,0,0
Session_1,2026-01-26 16:55:40.168,2.250,-73.2569,-8.1927,-10.0865,2.0126,88.1255,103.8462,-30.4546,-188.8701,581.6971,141.7325,69.1099,64.6149,6,0,0,0,0
Session_1,2026-01-26 16:55:40.237,2.319,-73.2569,-9.8115,-10.0866,1.8457,88.0946,103.8503,-27.0586,-200.2892,576.3866,144.9090,67.7584,67.5386,6,0,0,0,0
Session_1,2026-01-26 16:55:40.320,2.401,-73.2570,-11.8392,-10.0873,1.3396,88.0245,103.8455,-22.8026,-214.7328,568.7321,148.8684,65.7610,71.1128,6,0,0,0,0
Session_1,2026-01-26 16:55:40.394,2.475,-73.2571,-13.5091,-10.0882,0.9208,88.0561,103.8496,-19.2611,-226.3734,562.0055,151.6185,64.0271,73.6313,6,0,0,0,0
Session_1,2026-01-26 16:55:40.477,2.559,-73.2572,-15.0826,-10.0887,0.6997,88.1364,103.8496,-15.9801,-236.9420,555.6478,153.6813,62.4900,75.5473,6,0,0,0,0
Session_1,2026-01-26 16:55:40.545,2.626,-73.2573,-16.1434,-10.0887,0.7841,87.9737,103.8483,-14.1260,-243.7921,551.6249,154.8758,61.6865,76.4558,6,0,0,0,0
Session_1,2026-01-26 16:55:40.619,2.701,-73.2573,-17.2000,-10.0887,0.2293,87.8755,103.8490,-12.0355,-251.1546,546.2902,156.5932,60.3061,77.8695,6,0,0,0,0
Session_1,2026-01-26 16:55:40.698,2.779,-73.2578,-18.2391,-10.0895,-0.0872,87.9030,103.8538,-9.9358,-258.0262,541.3234,157.8391,59.1041,78.9669,6,0,0,0,0
Session_1,2026-01-26 16:55:40.772,2.853,-73.2579,-19.2646,-10.1021,-0.3262,88.1316,103.8538,-7.6639,-264.6173,536.3865,158.7706,57.9182,79.9611,6,0,0,0,0
Session_1,2026-01-26 16:55:40.852,2.933,-73.2579,-20.5114,-10.1036,-0.1016,88.1509,103.8544,-5.5180,-272.1017,531.2638,159.6004,56.9967,80.6769,6,0,0,0,0
Session_1,2026-01-26 16:55:40.925,3.006,-73.2579,-21.6886,-10.1036,0.1463,88.3287,103.8517,-3.0909,-278.9901,526.3474,160.1863,56.1206,81.3194,6,0,0,0,0
Session_1,2026-01-26 16:55:40.992,3.074,-73.2579,-22.8414,-10.1039,-0.0453,88.3280,103.8544,-0.9684,-286.0487,520.5372,161.1872,54.9012,82.1424,6,0,0,0,0
Session_1,2026-01-26 16:55:41.084,3.165,-73.2579,-24.3106,-10.1040,-0.0192,88.3438,103.8538,1.6427,-294.6628,513.4561,162.1862,53.5813,82.9666,6,0,0,0,0
Session_1,2026-01-26 16:55:41.162,3.244,-73.2579,-25.4723,-10.1040,0.1854,88.4956,103.8558,3.7941,-301.1761,508.0626,162.6872,52.6684,83.4907,6,0,0,0,0
Session_1,2026-01-26 16:55:41.236,3.318,-73.2579,-26.5934,-10.1040,-0.1449,88.8519,103.8517,6.1926,-307.6484,501.6576,163.2934,51.2507,84.2585,6,0,0,0,0
Session_1,2026-01-26 16:55:41.310,3.391,-73.2578,-27.4641,-10.1042,-0.7340,89.0806,103.8510,8.0316,-312.7984,495.9085,163.9567,49.8459,84.9525,6,0,0,0,0
Session_1,2026-01-26 16:55:41.387,3.468,-73.2579,-28.4586,-10.1042,-1.0252,89.1369,103.8517,9.7870,-318.3972,490.0203,164.6277,48.6367,85.5041,6,0,0,0,0
Session_1,2026-01-26 16:55:41.454,3.535,-73.2580,-29.2637,-10.1042,-0.8418,89.1499,103.8531,11.0779,-322.6359,486.0430,164.9514,48.0533,85.7549,6,0,0,0,0
Session_1,2026-01-26 16:55:41.531,3.612,-73.2580,-30.2349,-10.1042,-0.4772,88.9481,103.8531,12.3397,-327.6818,481.4639,165.4556,47.5332,85.9749,6,0,0,0,0
Session_1,2026-01-26 16:55:41.605,3.686,-73.2582,-31.0727,-10.1042,-0.3674,88.9851,103.8490,13.6885,-332.0114,477.0174,165.8036,46.8443,86.2607,6,0,0,0,0
Session_1,2026-01-26 16:55:41.688,3.769,-73.2581,-32.0499,-10.1042,-0.2527,88.9522,103.8510,15.1529,-337.0168,471.7225,166.2662,46.0427,86.5702,6,0,0,0,0
Session_1,2026-01-26 16:55:41.771,3.853,-73.2580,-32.9506,-10.1046,-0.3117,89.2667,103.8510,16.9038,-341.5128,466.4138,166.4478,45.0673,86.9302,6,0,0,0,0
Session_1,2026-01-26 16:55:41.850,3.932,-73.2580,-33.8111,-10.1045,1.0698,89.4466,103.8517,18.2296,-345.1624,464.2858,166.0307,45.5153,86.7647,6,0,0,0,0
Session_1,2026-01-26 16:55:41.932,4.013,-73.2582,-34.7283,-10.1044,3.0254,89.3230,103.8524,19.1869,-348.8681,462.9558,165.6270,46.5185,86.3822,6,0,0,0,0
Session_1,2026-01-26 16:55:42.008,4.089,-73.2586,-35.5084,-10.1044,4.5140,89.6326,103.8551,20.4870,-351.8955,461.3985,164.9812,47.1100,86.1412,6,0,0,0,0
Session_1,2026-01-26 16:55:42.074,4.156,-73.2586,-36.2419,-10.1044,5.9134,90.1469,103.8524,21.9555,-354.6112,459.8846,164.1729,47.6148,85.9379,6,0,0,0,0
Session_1,2026-01-26 16:55:42.140,4.221,-73.2585,-36.8850,-10.1044,6.7813,90.5706,103.8524,23.2569,-357.1519,457.7814,163.6736,47.7275,85.8919,6,0,0,0,0
Session_1,2026-01-26 16:55:42.210,4.292,-73.2586,-37.6705,-10.1044,8.0736,91.3362,103.8524,25.0806,-359.9920,455.6526,162.7193,48.0255,85.7709,6,0,0,0,0
Session_1,2026-01-26 16:55:42.289,4.370,-73.2586,-38.5622,-10.1044,7.8099,91.5374,103.8531,26.6442,-364.3431,449.5978,163.1438,46.8985,86.2367,6,0,0,0,0
Session_1,2026-01-26 16:55:42.364,4.445,-73.2584,-39.4483,-10.1044,7.8147,91.1446,103.8524,27.4454,-368.6565,444.0523,163.9434,46.1628,86.5226,6,0,0,0,0
Session_1,2026-01-26 16:55:42.439,4.520,-73.2584,-40.4124,-10.1044,7.0965,90.2973,103.8538,27.8958,-373.7220,436.4300,165.5296,44.7769,87.0285,6,0,0,0,0
Session_1,2026-01-26 16:55:42.523,4.604,-73.2582,-41.5696,-10.1043,7.1336,90.3625,103.8544,29.5249,-378.8580,429.0637,165.9919,43.7060,87.3978,6,0,0,0,0
Session_1,2026-01-26 16:55:42.590,4.671,-73.2581,-42.5678,-10.1043,6.4476,90.5967,103.8544,31.1751,-383.3569,421.1091,166.5282,42.0598,87.9273,6,0,0,0,0
Session_1,2026-01-26 16:55:42.675,4.756,-73.2580,-43.8596,-10.1043,6.2753,90.5871,103.8558,32.8135,-388.8416,412.2005,167.1585,40.6742,88.3364,6,0,0,0,0
Session_1,2026-01-26 16:55:42.739,4.820,-73.2580,-44.7709,-10.1043,6.4373,90.6276,103.8496,33.9666,-392.5027,406.4410,167.4346,39.9547,88.5468,6,0,0,0,0
Session_1,2026-01-26 16:55:42.816,4.898,-73.2577,-45.8579,-10.1044,5.6552,90.5322,103.8510,35.2028,-397.0078,397.4148,168.2649,38.1987,89.0073,6,0,0,0,0
Session_1,2026-01-26 16:55:42.889,4.970,-73.2575,-46.7953,-10.1043,4.8505,90.4676,103.8524,36.2418,-400.7286,389.2794,168.9848,36.5524,89.4030,6,0,0,0,0
Session_1,2026-01-26 16:55:42.956,5.038,-73.2571,-47.3986,-10.1043,3.2211,90.5521,103.8551,37.0509,-403.0533,381.6331,169.7099,34.3980,89.8727,6,0,0,0,0
Session_1,2026-01-26 16:55:43.029,5.111,-73.2565,-47.9709,-10.1043,1.4440,90.4278,103.8483,37.5231,-405.1307,373.8572,170.6368,32.1776,90.3174,6,0,0,0,0
Session_1,2026-01-26 16:55:43.104,5.185,-73.2547,-48.6442,-10.1044,0.6866,90.3062,103.8510,38.0753,-407.4342,367.5365,171.2215,30.8327,90.5569,6,0,0,0,0
Session_1,2026-01-26 16:55:43.180,5.261,-73.2208,-49.1450,-10.1044,0.5095,90.1305,103.8510,38.6123,-409.1321,363.6432,171.6072,30.2230,90.6946,6,0,0,0,0
Session_1,2026-01-26 16:55:43.254,5.335,-73.2117,-49.7533,-10.1044,0.5294,90.1442,103.8490,39.2955,-411.1191,359.3978,171.7829,29.6546,90.8001,6,0,0,0,0
Session_1,2026-01-26 16:55:43.321,5.403,-73.2108,-50.4602,-10.1045,0.5747,90.3591,103.8517,40.2369,-413.3141,354.4846,171.7851,28.9671,90.9083,6,0,0,0,0
